"filename", "language", "Dart", "YAML", "comment", "blank", "total"
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\app_constants.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\constants\firebase_constants.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\exceptions.dart", "Dart", -2, 0, 0, 0, -2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\errors\failures.dart", "Dart", -1, 0, 0, 0, -1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\routing\app_router.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\advanced_statistics_service.dart", "Dart", 270, 0, 24, 57, 351
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\connectivity_service.dart", "Dart", 45, 0, 3, 14, 62
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\export_import_service.dart", "Dart", 221, 0, 27, 45, 293
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\initial_sync_service.dart", "Dart", 97, 0, 9, 30, 136
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\notification_service.dart", "Dart", 121, 0, 11, 24, 156
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\push_notification_service.dart", "Dart", 72, 0, 16, 23, 111
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\sync_queue_item.dart", "Dart", 90, 0, 0, 16, 106
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\services\sync_service.dart", "Dart", 256, 0, 20, 49, 325
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\theme\app_colors.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\theme\app_theme.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\utils\date_utils.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\utils\extensions.dart", "Dart", -2, 0, 0, 1, -1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\utils\validators.dart", "Dart", 4, 0, 0, 1, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\widgets\initial_sync_dialog.dart", "Dart", 129, 0, 2, 12, 143
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\core\widgets\sync_indicator.dart", "Dart", 212, 0, 2, 22, 236
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\data\models\achievement_model.dart", "Dart", 58, 0, 5, 7, 70
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\data\services\achievement_service.dart", "Dart", 171, 0, 14, 26, 211
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\domain\entities\achievement.dart", "Dart", 115, 0, 3, 10, 128
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\providers\achievement_provider.dart", "Dart", 95, 0, 9, 16, 120
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\widgets\achievement_unlocked_dialog.dart", "Dart", 128, 0, 6, 16, 150
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\achievements\presentation\widgets\badge_widget.dart", "Dart", 109, 0, 1, 9, 119
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_local_datasource.dart", "Dart", 1, 0, 0, 0, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\datasources\auth_remote_datasource.dart", "Dart", -7, 0, 0, 0, -7
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\data\models\user_model.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\domain\usecases\auth_usecases.dart", "Dart", 0, 0, 0, -4, -4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\providers\auth_provider.dart", "Dart", 1, 0, 0, 1, 2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\onboarding_screen.dart", "Dart", 0, 0, 0, -1, -1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_in_screen.dart", "Dart", 6, 0, 0, 1, 7
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\sign_up_screen.dart", "Dart", 7, 0, 0, 1, 8
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\splash_screen.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\screens\welcome_screen.dart", "Dart", 0, 0, 0, 1, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\email_input_field.dart", "Dart", 1, 0, 0, 0, 1
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\password_input_field.dart", "Dart", 4, 0, 0, 0, 4
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\auth\presentation\widgets\social_sign_in_button.dart", "Dart", 3, 0, 0, 0, 3
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\models\goal_model.dart", "Dart", 123, 0, 5, 10, 138
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\data\repositories\goal_repository_impl.dart", "Dart", 184, 0, 3, 31, 218
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\entities\goal.dart", "Dart", 92, 0, 6, 8, 106
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\domain\repositories\goal_repository.dart", "Dart", 14, 0, 11, 11, 36
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\providers\goal_providers.dart", "Dart", 35, 0, 10, 12, 57
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\goals\presentation\widgets\goal_card.dart", "Dart", 211, 0, 3, 13, 227
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\datasources\habit_remote_datasource.dart", "Dart", 47, 0, 1, 6, 54
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_log_model.dart", "Dart", 1, 0, 0, 1, 2
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\habit_model.dart", "Dart", 6, 0, 0, 1, 7
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\models\streak_recovery_model.dart", "Dart", 52, 0, 5, 7, 64
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\repositories\habit_repository_impl.dart", "Dart", 88, 0, 9, 12, 109
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\data\repositories\offline_first_habit_repository.dart", "Dart", 290, 0, 23, 49, 362
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\habit.dart", "Dart", 6, 0, 0, -1, 5
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\habit_log.dart", "Dart", 1, 0, 0, -1, 0
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\entities\streak_recovery.dart", "Dart", 77, 0, 12, 12, 101
"e:\web_project2\pazartesi_basliyorum2\pazartesi_basliyorum\lib\features\habits\domain\repositories\habit_repository.dart", "Dart", 15, 0, 6, 5, 26
